id_lancamento;descricao;tipo_operacao;valor;data_vencimento;data_pagamento;status;forma_pagamento;documento_titular
82001;Lancamento do integrante Lucas Freitas lote B;R;292.00;05/01/2026;04/01/2026;PAGO;PIX;72515734740
82002;Lancamento do integrante David Oliveira lote B;P;293.00;08/01/2026;;PENDENTE;BOLETO;35221023636
82003;Lancamento do integrante Ricardo Gabriel lote B;R;294.00;11/01/2026;10/01/2026;PAGO;CARTAO_CREDITO;08326558648
82004;Lancamento do integrante Maria Eduarda Viana lote B;P;295.00;14/01/2026;;PENDENTE;TRANSFERENCIA;97939838253
82005;Faturamento lote B valor com virgula;R;3480,75;12/03/2026;13/03/2026;PAGO;PIX;12944294938
82006;Honorarios lote B valor monetario;P;R$ 8.990,10;20/04/2026;21/04/2026;PAGO;BOLETO;14353529714
82007;Licenca ERP lote B primeira ocorrencia;R;918.20;05/05/2026;;PENDENTE;CARTAO_CREDITO;91957333375
82007;Manutencao dedicada lote B segunda ocorrencia;P;1883.60;18/06/2026;19/06/2026;CANCELADO;TRANSFERENCIA;61091737207
82008;Frete expresso lote B data invalida;R;648.20;XYZ;;PENDENTE;DINHEIRO;32445382157
82009;Cobranca com e-mail invalido maria@ lote B;R;308.10;08/07/2026;;PENDENTE;PIX;39303489934
82010 ;  Assessoria Juridica lote B  ; P ; 2148.20 ; 11/08/2026 ;  ; PENDENTE ; BOLETO ; 86103970091
82011;Repasse José Antônio - Unidade Brasília / Goiânia;R;1568.45;22/09/2026;;PENDENTE;CARTAO_CREDITO;18001062546
82012;Repasse operacional lote B booleano;false;4083.80;03/10/2026;04/10/2026;NAO;true;95313214500
82013;Cobranca extraordinaria lote B nulos;P;741.40;-;N/A;null;NULL;66191044798

82014;Titulo financeiro lote B sequencia 14;P;216.00;15/02/2026;;CANCELADO;DINHEIRO;68911350524
82015;Titulo financeiro lote B sequencia 15;R;217.00;16/02/2026;15/02/2026;PAGO;PIX;98145341450
